,Code,Course,Round1_x,Round2_x,Round1_y,Round2_y,Round1,Round2
1060,TU808,Engineering Software,,,260.0,260,,
1061,TU809,Mechanical Engineering,,,235.0,,,
1062,TU810,Mechatronic Engineering,,,270.0,,271.0, 
1063,TU811,Product Design,,,411.0,,440.0, 434
1064,TU812,"Design,Technology and Innovation",,,270.0,,278.0, 
1065,TU813,Automation Engineering,,,218.0,218,,
1066,TU814,Transport Operations and Technology,,,285.0,251,253.0, 253
1067,TU831,Architectural Technology,,,410.0,,423.0, 
1068,TU832,Architecture (Suitability Test and Interview),,,622.0,,644.0,638
1069,TU833,Construction Management,,,367.0,,396.0, 
1070,TU834,Geographic Science,,,288.0,,315.0, 
1071,TU835,Planning and Environmental Management,,,313.0,,330.0, 
1072,TU836,Property Economics (Valuation Surveying),,,401.0,,411.0, 
1073,TU837,Quantity Surveying and Construction Economics,,,385.0,,413.0, 
1074,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,349.0,,400.0, 
1075,TU852,Chemical Sciences with Medicinal Chemistry,,,476.0,,477.0, 
1076,TU854,Science (General Entry),,,476.0,,510.0, 
1077,TU855,Science with Nanotechnology,,,331.0,319,322.0, 
1078,TU856,Computer Science,,,476.0,,499.0, 
1079,TU857,Computer Science (Infrastructure),,,391.0,,403.0, 
1080,TU858,Computer Science (International),,,377.0,,395.0, 
1081,TU859,Computing,,,217.0,234,251.0, 
1082,TU860,Computing (Information Technology),,,260.0,,270.0, 
1083,TU861,Computing with Language (French/German/Spanish),,,308.0,308,235.0, 235
1084,TU862,Computing with Data Analytics,,,226.0,226,262.0, 
1085,TU863,Digital Forensics and Cyber Security,,,280.0,,282.0, 
1086,TU864,DNA and Forensic Analysis,,,400.0,390,500.0, 441
1087,TU865,Computing with IT Management,,,226.0,,235.0, 
1088,TU866,Biomedical and Molecular Diagnostics,,,487.0,,522.0, 
1089,TU867,Biomedical Science,,,524.0,,576.0, 566
